"player","team","pos","min","obpm","dbpm","bpm","role"
"Ayoze Pérez","Real Betis","FW",25.5,0.113,0.034,0.147,3
"Antonio Raillo","Mallorca","DF",24.4,0.078,0.066,0.144,1
"Cyle Larin","Mallorca","FW",20.3,0.108,0.036,0.144,3
"David López","Girona","DF",21.8,0.069,0.072,0.141,1
"João Félix","Barcelona","FW",17.1,0.133,0.006,0.139,3
"Rodrigo Riquelme","Atletico Madrid","DF,MF",17,0.166,-0.032,0.135,1.33333333333333
"Chris Ramos","Cadiz","FW,MF",29,0.108,0.028,0.135,2.66666666666667
"Artem Dovbyk","Girona","FW",28.7,0.144,-0.011,0.133,3
"Ronald Araújo","Barcelona","DF",22.2,0.1,0.031,0.132,1
"Joselu","Real Madrid","FW",18.7,0.106,0.025,0.131,3
"Kepa Arrizabalaga","Real Madrid","GK",13.3,-0.019,0.149,0.13,-1
"Jude Bellingham","Real Madrid","MF",25.7,0.127,0.001,0.127,2
"Raphinha","Barcelona","FW,MF",15.2,0.143,-0.016,0.127,2.66666666666667
"Ante Budimir","Osasuna","FW",27.1,0.099,0.028,0.127,3
"Lamine Yamal","Barcelona","FW",24.5,0.106,0.02,0.126,3
"Fermin López","Barcelona","MF,FW",16.1,0.136,-0.01,0.126,2.33333333333333
"Samuel Omorodion","Alaves","FW",21.3,0.096,0.027,0.123,3
"Carl Starfelt","Celta Vigo","DF",24.6,0.065,0.057,0.122,1
"Youssef En-Nesyri","Sevilla","FW",28.6,0.088,0.034,0.122,3
"Axel Witsel","Atletico Madrid","DF",30.9,0.054,0.067,0.121,1
"Ángel Correa","Atletico Madrid","FW,MF",17,0.113,0.008,0.121,2.66666666666667
"Unai Núñez","Celta Vigo","DF",31.1,0.07,0.049,0.119,1
"Germán Pezzella","Real Betis","DF",30.7,0.085,0.033,0.118,1
"Antonio Rüdiger","Real Madrid","DF",30.1,0.043,0.075,0.117,1
"Antoine Griezmann","Atletico Madrid","FW,MF",29.4,0.069,0.047,0.116,2.66666666666667
"Gorka Guruzeta","Athletic Club","FW",24.6,0.084,0.03,0.114,3
"Marko Dmitrović","Sevilla","GK",13,0.01,0.104,0.114,-1
"Ignasi Miquel","Granada","DF",33.2,0.087,0.026,0.113,1
"Takefusa Kubo","Real Sociedad","FW,MF",23.9,0.074,0.038,0.112,2.66666666666667
"Jules Koundé","Barcelona","DF",32.2,0.069,0.035,0.104,1
"Marcos Llorente","Atletico Madrid","MF,DF",28.5,0.075,0.028,0.102,1.66666666666667
"Iván Villar","Celta Vigo","GK",11.3,0.014,0.088,0.101,-1
"Alex Baena","Villarreal","MF,FW",28.7,0.103,-0.004,0.099,2.33333333333333
"Dani Carvajal","Real Madrid","DF",24.1,0.064,0.033,0.098,1
"João Cancelo","Barcelona","DF",27.8,0.11,-0.012,0.098,1
"Édgar González","Almeria","DF,MF",28,0.045,0.053,0.098,1.33333333333333
"Hugo Duro","Valencia","FW",33.1,0.057,0.04,0.097,3
"Sergio Arribas","Almeria","MF,FW",22.7,0.109,-0.016,0.094,2.33333333333333
"Raúl Albiol","Villarreal","DF",22.6,0.049,0.044,0.093,1
"Dodi Lukebakio","Sevilla","FW,MF",12.5,0.112,-0.02,0.093,2.66666666666667
"Isco","Real Betis","MF",25.8,0.081,0.01,0.091,2
"Jorge Cuenca","Villarreal","DF",21.8,0.08,0.009,0.089,1
"Cristhian Mosquera","Valencia","DF",34.2,0.044,0.045,0.089,1
"Daniel Vivian","Athletic Club","DF",32,0.046,0.042,0.088,1
"Willian José","Real Betis","FW",21.9,0.049,0.039,0.088,3
"Chadi Riad","Real Betis","DF",24,0.057,0.029,0.087,1
"Rafa Marín","Alaves","DF",27.1,0.038,0.044,0.082,1
"Myrto Uzuni","Granada","FW",27.2,0.066,0.015,0.081,3
"Juan Brandáriz","Almeria","DF",27,0.037,0.04,0.078,1
"Robin Le Normand","Real Sociedad","DF",27.4,0.042,0.035,0.077,1
"Óscar Mingueza","Celta Vigo","DF,MF",33.3,0.07,0.007,0.077,1.33333333333333
"Loïc Bade","Sevilla","DF",25.3,0.049,0.027,0.077,1
"Igor Zubeldia","Real Sociedad","DF",28,0.025,0.051,0.076,1
"Iago Aspas","Celta Vigo","FW",30.1,0.045,0.031,0.076,3
"Vedat Muriqi","Mallorca","FW",25.9,0.036,0.04,0.076,3
"Juanmi Latasa","Getafe","FW",17.3,0.074,0.001,0.075,3
"Catena","Osasuna","DF",28.2,0.045,0.028,0.073,1
"Mika Màrmol","Las Palmas","DF",35.3,0.026,0.047,0.073,1
"Nacho","Real Madrid","DF",19.4,0.012,0.06,0.072,1
"Oihan Sancet","Athletic Club","MF",21.9,0.061,0.011,0.072,2
"Nemanja Maksimović","Getafe","MF",36.3,0.034,0.038,0.072,2
"Bryan Zaragoza","Granada","MF,FW",18.2,0.1,-0.028,0.072,2.33333333333333
"Mikel Merino","Real Sociedad","MF",27.6,0.012,0.058,0.07,2
"Abdel Abqar","Alaves","DF",25.7,0.021,0.049,0.07,1
"Gerard Moreno","Villarreal","FW",24.6,0.052,0.017,0.069,3
"Brais Méndez","Real Sociedad","MF,FW",26.8,0.036,0.032,0.068,2.33333333333333
"Aitor Paredes","Athletic Club","DF",30,0.05,0.017,0.067,1
"Lucas Ocampos","Sevilla","FW,MF",31.9,0.053,0.013,0.066,2.66666666666667
"Isaac Bernal","Sevilla","FW",11.5,0.1,-0.035,0.065,3
"Javi Hernández","Cadiz","DF",27.9,0.068,-0.006,0.063,1
"Mikel Oyarzabal","Real Sociedad","FW,MF",24,0.029,0.033,0.062,2.66666666666667
"Jonathan Bamba","Celta Vigo","MF,FW",22,0.075,-0.014,0.061,2.33333333333333
"Saúl Coco","Las Palmas","DF",25.5,0.047,0.014,0.061,1
"Pubill","Almeria","DF",20.9,0.087,-0.026,0.061,1
"Brahim Díaz","Real Madrid","FW,MF",17.2,0.051,0.009,0.06,2.66666666666667
"Aurélien Tchouaméni","Real Madrid","MF,DF",22.1,0.002,0.057,0.059,1.66666666666667
"Adri Embarba","Almeria","FW,MF",27.5,0.067,-0.01,0.057,2.66666666666667
"Sergi Canós","Valencia","MF,FW",13.7,0.09,-0.034,0.056,2.33333333333333
"Lucas Boyé","Granada","FW",28.2,0.041,0.015,0.056,3
"Yangel Herrera","Girona","MF",23.4,0.081,-0.027,0.054,2
"Miguel Gutiérrez","Girona","DF",33.7,0.086,-0.034,0.052,1
"Hamari Traoré","Real Sociedad","DF",25.5,0.033,0.018,0.051,1
"Miguel Ángel Rubio","Granada","DF",17.3,0.037,0.014,0.051,1
"İlkay Gündoğan","Barcelona","MF",33.3,0.026,0.023,0.049,2
"Pau Cubarsí","Barcelona","DF",17.3,0.005,0.044,0.049,1
"Diego López","Valencia","MF,FW",29.5,0.041,0.007,0.049,2.33333333333333
"Andoni Gorosabel","Alaves","DF",31.7,0.052,-0.005,0.048,1
"Omar Alderete","Getafe","DF",24.4,0.044,0.004,0.048,1
"Fali","Cadiz","DF",28.3,0.021,0.026,0.048,1
"Daley Blind","Girona","DF",33,0.056,-0.009,0.046,1
