"player","team","pos","min","obpm","dbpm","bpm","role"
"Jordan Clark","Luton Town","MF",14.5,-0.022,-0.064,-0.085,2
"Sergio Reguilón","Brentford","DF",12.4,-0.071,-0.014,-0.086,1
"Ameen Al-Dakhil","Burnley","DF",11.7,-0.079,-0.008,-0.088,1
"Ibrahim Sangaré","Nottingham Forest","MF",11.5,-0.077,-0.011,-0.089,2
"Alex Scott","Bournemouth","MF",11.3,-0.062,-0.032,-0.093,2
"Mathias Jørgensen","Brentford","DF",12.1,-0.061,-0.034,-0.096,1
"Trevoh Chalobah","Chelsea","DF",10.6,-0.086,-0.011,-0.097,1
"Jacob Brown","Luton Town","MF,FW",11.3,0.021,-0.118,-0.097,2.33333333333333
"Tom Cairney","Fulham","MF",16.5,-0.054,-0.051,-0.105,2
"Álex Moreno","Aston Villa","DF",11.5,-0.045,-0.066,-0.111,1
"Albert Sambi Lokonga","Luton Town","MF",14.5,-0.081,-0.03,-0.111,2
"Jóhann Berg Guðmundsson","Burnley","MF,FW",13.2,-0.036,-0.076,-0.111,2.33333333333333
"Ben Osborn","Sheffield United","DF,MF",15.2,-0.069,-0.043,-0.112,1.33333333333333
"Matt Doherty","Wolverhampton Wanderers","DF,MF",12.8,-0.049,-0.065,-0.113,1.33333333333333
"Nathaniel Clyne","Crystal Palace","DF",14.9,-0.093,-0.021,-0.114,1
"Ben Godfrey","Everton","DF",12.4,-0.075,-0.039,-0.114,1
"Saša Lukić","Fulham","MF",12.5,-0.067,-0.051,-0.118,2
"Luca Koleosho","Burnley","MF,FW",10.8,0.008,-0.127,-0.118,2.33333333333333
"John Stones","Manchester City","DF,MF",11.8,-0.128,0.008,-0.119,1.33333333333333
"Rodrigo Bentancur","Tottenham Hotspur","MF",11.2,-0.056,-0.064,-0.119,2
"Jakub Kiwior","Arsenal","DF",10.5,-0.115,-0.004,-0.12,1
"Pelly Ruddock Mpanzu","Luton Town","MF",12.2,-0.085,-0.039,-0.124,2
"Max Aarons","Bournemouth","DF",13.7,-0.092,-0.033,-0.125,1
